쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
CU 남대문로5가점,기후동행쉼터,편의점,"중구 세종대로 8-1, (남대문로5가)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.55755882,126.9734
CU 경희당점,기후동행쉼터,편의점,종로구 경희궁길 36 (신문로2가),24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.57291991,126.9700632
CU 동숭아트점,기후동행쉼터,편의점,종로구 동숭길 114 (동숭동) 1층 CU,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.58317453,127.0038343
CU 동묘토성점,기후동행쉼터,편의점,종로구 지봉로4길 21,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.57131133,127.0169819
CU 행당삼부소월점,기후동행쉼터,편의점,성동구 왕십리로 284 (행당동) 1층 CU,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.55977863,127.0369048
CU 자양차이나점,기후동행쉼터,편의점,광진구 뚝섬로23가길 17 1층 CU,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.53802663,127.065406
CU 전농우성점,기후동행쉼터,편의점,"동대문구 사가정로 190, 상가(전농동, 전농우성아파트) 2층",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.57734724,127.064387
CU 장안관광호텔점,기후동행쉼터,편의점,"동대문구 천호대로 377, (장안동)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.56233423,127.0609886
CU 군자초교점,기후동행쉼터,편의점,동대문구 천호대로77길 22 1층 CU,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.56318366,127.0614033
CU 답십리점,기후동행쉼터,편의점,동대문구 답십리동 서울시립대로2길 60 (답십리동) 1층 CU,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.57253938,127.048947
