쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
중화2동주민센터,한파쉼터,주민센터,서울 중랑구 봉화산로 27,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,450,200,Y,"['한파', '눈']",실내,,,,37.60202101,127.0774218
청운효자동주민센터,한파쉼터,주민센터,서울특별시 종로구 자하문로 92,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,200,50,Y,"['한파', '눈']",실내,,,,37.58409211,126.9706207
세종마을경로당,한파쉼터,노인시설,서울특별시 종로구 자하문로11길 33,평일: 10:00:00 ~ 17:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,141.9,50,Y,"['한파', '눈']",실내,,,,37.58030732,126.9699596
사직동주민센터,한파쉼터,주민센터,서울특별시 종로구 경희궁1길 15,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,400,50,Y,"['한파', '눈']",실내,,,,37.57135304,126.9705991
사직경로당,한파쉼터,노인시설,서울특별시 종로구 사직로9길 15-25 ,평일: 10:00:00 ~ 17:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,158.5,30,Y,"['한파', '눈']",실내,,,,37.57647059,126.9655817
삼청동주민센터,한파쉼터,주민센터,서울특별시 종로구 삼청로 107,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,200,50,Y,"['한파', '눈']",실내,,,,37.58500537,126.9818567
복정경로당,한파쉼터,노인시설,서울특별시 종로구 삼청로4길 22,평일: 10:00:00 ~ 17:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,200,30,Y,"['한파', '눈']",실내,,,,37.58238712,126.9821031
부암동주민센터,한파쉼터,주민센터,서울특별시 종로구 창의문로 145,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,400,50,Y,"['한파', '눈']",실내,,,,37.59241132,126.964065
신영경로당,한파쉼터,노인시설,서울특별시 종로구 세검정로6길 76-19 ,평일: 10:00:00 ~ 17:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,143.24,30,Y,"['한파', '눈']",실내,,,,37.60129236,126.9636577
평창동주민센터,한파쉼터,주민센터,서울특별시 종로구 평창문화로 65,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,200,50,Y,"['한파', '눈']",실내,,,,37.60637332,126.9683674
평창경로당,한파쉼터,노인시설,서울특별시 종로구 평창문화로 48,평일: 10:00:00 ~ 17:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,288,40,Y,"['한파', '눈']",실내,,,,37.60532972,126.9667902
무악동주민센터,한파쉼터,주민센터,서울특별시 종로구 통일로14길 36,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,400,40,Y,"['한파', '눈']",실내,,,,37.57600022,126.9581596
무악제2경로당,한파쉼터,노인시설,서울특별시 종로구 통일로 246-11 ,평일: 10:00:00 ~ 17:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,242,50,Y,"['한파', '눈']",실내,,,,37.57521309,126.9591271
교남동주민센터,한파쉼터,주민센터,서울특별시 종로구 송월길 154,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,400,40,Y,"['한파', '눈']",실내,,,,37.57191387,126.9619602
행촌경로당,한파쉼터,노인시설,서울특별시 종로구 인왕산로1길 58,평일: 10:00:00 ~ 17:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,200,50,Y,"['한파', '눈']",실내,,,,37.575398,126.9630296
가회동주민센터,한파쉼터,주민센터,서울특별시 종로구 북촌로 35,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,60,50,Y,"['한파', '눈']",실내,,,,37.58005086,126.9847891
북촌경로당,한파쉼터,노인시설,서울특별시 종로구 북촌로 20-27 ,평일: 10:00:00 ~ 17:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,103.1,30,Y,"['한파', '눈']",실내,,,,37.5788988,126.985867
구청사,한파쉼터,기타,서울특별시 종로구 종로1길 36,평일: 09:00:00 ~ 18:00:00,"일요일, 공휴일",2024-11-15,2025-03-15,,82.6,10,Y,"['한파', '눈']",실내,,,,37.57350514,126.9789883
