쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
강남구립못골도서관,쿨하다 캠페인,도서관,서울특별시 강남구 자곡로 116,"평일 : 09:00~22:00, 주말 : 09:00~22:00",매주 화요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.47153792,127.0965824
강남역삼푸른솔도서관,쿨하다 캠페인,도서관,서울특별시 강남구 테헤란로8길 36. 4층,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 화요일 및 법정 공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.49649918,127.0320288
논현도서관,쿨하다 캠페인,도서관,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.51728313,127.0372042
대치도서관,쿨하다 캠페인,도서관,서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호,평일 : 09:00~21:00. 주말 : 09:00~17:00 ,매주 화요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.49961577,127.0659154
도곡정보문화도서관,쿨하다 캠페인,도서관,서울특별시 강남구 도곡로18길 57,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.4883103,127.0388804
못골한옥어린이도서관,쿨하다 캠페인,도서관,서울특별시 강남구 자곡로7길 3?,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.47330615,127.0997279
역삼도서관,쿨하다 캠페인,도서관,"서울특별시 강남구 역삼로7길 16, 5층","평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.49537321,127.0332838
정다운도서관,쿨하다 캠페인,도서관,서울특별시 강남구 학동로67길 11 3층,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.51909871,127.0464409
즐거운도서관,쿨하다 캠페인,도서관,서울특별시 강남구 도곡로77길 23 4층,평일 : 09:00~22:00. 주말 : 09:00~17:00 ,매주 월요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.49972974,127.0578495
청담도서관,쿨하다 캠페인,도서관,서울특별시 강남구 압구정로79길 26 청담주민센터 7층,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.52509211,127.0492911
행복한도서관,쿨하다 캠페인,도서관,서울특별시 강남구 영동대로65길 24(대치2문화센터 3층),"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.50230433,127.0641877
열린도서관,쿨하다 캠페인,도서관,서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.4840224,127.0844597
일원라온영어도서관,쿨하다 캠페인,도서관,서울특별시 강남구 영동대로 22 B1(일원동 743),"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.49109411,127.074164
개포하늘꿈도서관,쿨하다 캠페인,도서관,서울특별시 강남구 개포로 110길 54,"평일 : 09:00~22:00, 주말 : 09:00~17:00",매주 화요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.49066929,127.0803569
논현문화마루도서관,쿨하다 캠페인,도서관,"서울특별시 강남구 논현로131길 40, 4~5층","평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,,
