쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
스마트셸터,스마트쉼터,,서울 마포구 동교동 155-55,05:00:00 ~ 익일 01:00:00,,,,14-015 홍대입구역(중) 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.55637207,126.9231257
스마트셸터,스마트쉼터,,서울 마포구 동교동 155-55,05:00:00 ~ 익일 01:00:00,,,,14-016 홍대입구역(중) 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.55637207,126.9231257
스마트셸터,스마트쉼터,,서울 마포구 합정동 402,05:00:00 ~ 익일 01:00:00,,,,14-011 합정역(중) 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.54984665,126.9141781
스마트셸터,스마트쉼터,,서울 마포구 합정동 402,05:00:00 ~ 익일 01:00:00,,,,14-012 합정역(중) 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.54984665,126.9141781
스마트셸터,스마트쉼터,,서울 중구 남대문로5가 84-15,05:00:00 ~ 익일 01:00:00,,,,02-008 숭례문(중) 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.557467,126.9729842
스마트셸터,스마트쉼터,,서울 광진구 화양동 4-15,05:00:00 ~ 익일 01:00:00,,,,05-232 건대입구역사거리.건대병원 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.54073881,127.071187
스마트셸터,스마트쉼터,,서울 강서구 마곡동 730-314,05:00:00 ~ 익일 01:00:00,,,,16-023 강서세무서(중) 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.56015346,126.821424
스마트셸터,스마트쉼터,,서울 강서구 마곡동 730-314,05:00:00 ~ 익일 01:00:00,,,,16-024 강서세무서(중) 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.56015346,126.821424
스마트셸터,스마트쉼터,,서울 은평구 진관동 산 100-25,05:00:00 ~ 익일 01:00:00,,,,12-111 구파발역2번출구 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.63674993,126.9189395
스마트셸터,스마트쉼터,,서울 서대문구 현저동 900,05:00:00 ~ 익일 01:00:00,,,,13-270 독립문공원.극동아파트 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.57185357,126.9594508
스마트셸터,스마트쉼터,,서울 강동구 성내동 5-19,05:00:00 ~ 익일 01:00:00,,,,25-013 천호역(중) 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.53743591,127.1273599
스마트셸터,스마트쉼터,,서울 강동구 성내동 62-1,05:00:00 ~ 익일 01:00:00,,,,25-014 천호역(중) 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.5348353,127.1221279
스마트셸터,스마트쉼터,,서울 송파구 방이동 95-3,05:00:00 ~ 익일 01:00:00,,,,24-136 송파구청.방이맛골 버스정류소,,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.51358608,127.1075626
중구형 스마트쉼터,스마트쉼터,,신당동 369-2,05:00:00 ~ 익일 01:00:00,,,,약수역7번출구·약수동주민센터 버스정류장(02-196),,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.55506287,127.0105991
중구형 스마트쉼터,스마트쉼터,,남대문로2가 8-2,05:00:00 ~ 익일 01:00:00,,,,명동입구 버스정류장(02-253),,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.56466976,126.9825991
중구형 스마트쉼터,스마트쉼터,,신당동 369-2,05:00:00 ~ 익일 01:00:00,,,,"약수역8번출구·신당사회복지관
버스정류장(02-195)",,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.55506287,127.0105991
중구형 스마트쉼터,스마트쉼터,,만리동2가 33-1,05:00:00 ~ 익일 01:00:00,,,,"손기정체육공원입구
버스정류장(02-102)",,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.55430189,126.966009
중구형 스마트쉼터,스마트쉼터,,신당동 산24-110,05:00:00 ~ 익일 01:00:00,,,,"버티고개
버스정류장(02-237)",,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.54772032,127.0062349
중구형 스마트쉼터,스마트쉼터,,신당동 433,05:00:00 ~ 익일 01:00:00,,,,"신당파인힐하나유보라
버스정류장(02-252)",,,Y,"['폭염', '비', '눈', '한파', '미세먼지']",실내,Y,Y,Y,37.56498302,127.0250064
