쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
건너말경로당,무더위쉼터,경로당,서울특별시 송파구 중대로10길 29,,,2024/06/01 0:00,2024/09/30 0:00,,123.02,44,Y,"['폭염', '비']",실내,,,,37.49164238,127.123488
가락본동주민센터,무더위쉼터,주민센터,서울특별시 송파구 송파대로28길 39,,,2024/06/01 0:00,2024/09/30 0:00,,999.03,100,Y,"['폭염', '비']",실내,,,,37.49558031,127.1217613
가락1동주민센터,무더위쉼터,주민센터,서울특별시 송파구 양재대로 925,,,2024/06/01 0:00,2024/09/30 0:00,,165,20,Y,"['폭염', '비']",실내,,,,37.49650407,127.1098544
샛팽이경로당,무더위쉼터,경로당,서울특별시 송파구 오금로42길 15,,,2024/06/01 0:00,2024/09/30 0:00,,146,15,Y,"['폭염', '비']",실내,,,,37.49678488,127.1339108
개롱경로당,무더위쉼터,경로당,서울특별시 송파구 동남로14길 17-46 ,,,2024/06/01 0:00,2024/09/30 0:00,,106.84,60,Y,"['폭염', '비']",실내,,,,37.49315757,127.1332211
가락골경로당,무더위쉼터,경로당,서울특별시 송파구 송이로23길 16-28 ,,,2024/06/01 0:00,2024/09/30 0:00,,106.84,36,Y,"['폭염', '비']",실내,,,,37.49476539,127.1257639
가락2동주민센터,무더위쉼터,주민센터,서울특별시 송파구 중대로20길 6,,,2024/06/01 0:00,2024/09/30 0:00,,994.44,30,Y,"['폭염', '비']",실내,,,,37.49867369,127.1266091
연화경로당,무더위쉼터,경로당,서울특별시 송파구 송파대로14길 7,,,2024/06/01 0:00,2024/09/30 0:00,,150.76,65,Y,"['폭염', '비']",실내,,,,37.48368156,127.1250021
문정경로당,무더위쉼터,경로당,서울특별시 송파구 동남로6나길 3-6 ,,,2024/06/01 0:00,2024/09/30 0:00,,124.2,40,Y,"['폭염', '비']",실내,,,,37.48861802,127.1254999
문정1동주민센터,무더위쉼터,주민센터,서울특별시 송파구 동남로 116,,,2024/06/01 0:00,2024/09/30 0:00,,778.39,20,Y,"['폭염', '비']",실내,,,,37.49007616,127.1241791
문정2동주민센터,무더위쉼터,주민센터,서울특별시 송파구 중대로 16,,,2024/06/01 0:00,2024/09/30 0:00,,870.48,20,Y,"['폭염', '비']",실내,,,,37.48988331,127.1108968
장지경로당,무더위쉼터,경로당,서울특별시 송파구 새말로10길 3-16 ,,,2024/06/01 0:00,2024/09/30 0:00,,109.36,27,Y,"['폭염', '비']",실내,,,,37.48247913,127.1283115
잔버들경로당,무더위쉼터,경로당,서울특별시 송파구 새말로15길 9,,,2024/06/01 0:00,2024/09/30 0:00,,144.64,36,Y,"['폭염', '비']",실내,,,,37.48515945,127.1297173
파인타운1단지경로당,무더위쉼터,경로당,서울특별시 송파구 충민로 188,,,2024/06/01 0:00,2024/09/30 0:00,,85.03,21,Y,"['폭염', '비']",실내,,,,37.48622886,127.1345477
파인타운2단지경로당,무더위쉼터,경로당,서울특별시 송파구 충민로 151,,,2024/06/01 0:00,2024/09/30 0:00,,74.06,18,Y,"['폭염', '비']",실내,,,,37.48351714,127.1313064
파인타운4단지경로당,무더위쉼터,경로당,서울특별시 송파구 새말로12길 16,,,2024/06/01 0:00,2024/09/30 0:00,,91.31,22,Y,"['폭염', '비']",실내,,,,37.48202781,127.1301294
파인타운5단지경로당,무더위쉼터,경로당,서울특별시 송파구 충민로4길 5,,,2024/06/01 0:00,2024/09/30 0:00,,65.58,16,Y,"['폭염', '비']",실내,,,,37.47962067,127.1297265
파인타운6단지경로당,무더위쉼터,경로당,서울특별시 송파구 충민로6길 14,,,2024/06/01 0:00,2024/09/30 0:00,,82.84,20,Y,"['폭염', '비']",실내,,,,37.48069773,127.1314396
파인타운7단지경로당,무더위쉼터,경로당,서울특별시 송파구 충민로4길 19,,,2024/06/01 0:00,2024/09/30 0:00,,53,13,Y,"['폭염', '비']",실내,,,,37.47920992,127.1299527
파인타운8단지경로당,무더위쉼터,경로당,서울특별시 송파구 충민로4길 6,,,2024/06/01 0:00,2024/09/30 0:00,,71.06,17,Y,"['폭염', '비']",실내,,,,37.47965382,127.1280781
파인타운9단지경로당,무더위쉼터,경로당,서울특별시 송파구 송파대로8길 17,,,2024/06/01 0:00,2024/09/30 0:00,,145,36,Y,"['폭염', '비']",실내,,,,37.47801529,127.129361
파인타운10단지경로당,무더위쉼터,경로당,서울특별시 송파구 송파대로8길 20,,,2024/06/01 0:00,2024/09/30 0:00,,89.48,22,Y,"['폭염', '비']",실내,,,,37.47813402,127.1311867
파인타운11단지경로당,무더위쉼터,경로당,서울특별시 송파구 송파대로8길 58,,,2024/06/01 0:00,2024/09/30 0:00,,57.6,14,Y,"['폭염', '비']",실내,,,,37.48023216,127.1337902
장지동주민센터,무더위쉼터,주민센터,서울특별시 송파구 새말로19길 6,,,2024/06/01 0:00,2024/09/30 0:00,,"1,235.65",40,Y,"['폭염', '비']",실내,,,,37.48696583,127.1324383
위례포레샤인18단지경로당,무더위쉼터,경로당,서울특별시 송파구 위례북로4길 12,,,2024/06/01 0:00,2024/09/30 0:00,,232.2,33,Y,"['폭염', '비']",실내,,,,37.48820554,127.151053
위례포레샤인13단지경로당,무더위쉼터,경로당,서울특별시 송파구 위례서이로 25,,,2024/06/01 0:00,2024/09/30 0:00,,60,30,Y,"['폭염', '비']",실내,,,,37.48290315,127.1376737
위례포레샤인경로당,무더위쉼터,경로당,서울특별시 송파구 위례순환로 477,,,2024/06/01 0:00,2024/09/30 0:00,,430.39,52,Y,"['폭염', '비']",실내,,,,37.47511,127.1365581
위례동주민센터,무더위쉼터,주민센터,서울특별시 송파구 위례광장로 210,,,2024/06/01 0:00,2024/09/30 0:00,,"2,550.00",30,Y,"['폭염', '비']",실내,,,,37.48114953,127.1439356
신천경로당,무더위쉼터,경로당,서울특별시 송파구 석촌호수로12길 1-17 ,,,2024/06/01 0:00,2024/09/30 0:00,,159.98,57,Y,"['폭염', '비']",실내,,,,37.50842617,127.0865575
잠전경로당,무더위쉼터,경로당,서울특별시 송파구 백제고분로15길 7,,,2024/06/01 0:00,2024/09/30 0:00,,103.36,33,Y,"['폭염', '비']",실내,,,,37.50621935,127.0841782
잠실본동주민센터,무더위쉼터,주민센터,서울특별시 송파구 백제고분로 145,,,2024/06/01 0:00,2024/09/30 0:00,,696.3,20,Y,"['폭염', '비']",실내,,,,37.50610794,127.083224
잠실2동주민센터,무더위쉼터,주민센터,서울특별시 송파구 올림픽로 159,,,2024/06/01 0:00,2024/09/30 0:00,,"1,748.97",20,Y,"['폭염', '비']",실내,,,,37.51189159,127.0885409
잠실3동주민센터,무더위쉼터,주민센터,서울특별시 송파구 잠실로 51-29 ,,,2024/06/01 0:00,2024/09/30 0:00,,591.34,20,Y,"['폭염', '비']",실내,,,,37.51330483,127.0941067
잠실4동주민센터,무더위쉼터,주민센터,서울특별시 송파구 올림픽로35길 12,,,2024/06/01 0:00,2024/09/30 0:00,,"1,321.34",20,Y,"['폭염', '비']",실내,,,,37.52016812,127.1125549
송파구청,무더위쉼터,기타,서울특별시 송파구 올림픽로 326,,,2024/06/01 0:00,2024/09/30 0:00,,"26,318.00",30,Y,"['폭염', '비']",실내,,,,37.51447718,127.10586
잠실6동주민센터,무더위쉼터,주민센터,서울특별시 송파구 올림픽로35길 120,,,2024/06/01 0:00,2024/09/30 0:00,,766.59,20,Y,"['폭염', '비']",실내,,,,37.51811865,127.1006399
잠실7동주민센터,무더위쉼터,주민센터,서울특별시 송파구 올림픽로4길 17,,,2024/06/01 0:00,2024/09/30 0:00,,"10,672.00",20,Y,"['폭염', '비']",실내,,,,37.50865223,127.0765197
녹번종합사회복지관,무더위쉼터,복지관,서울 은평구 은평로21길 14-26 녹번종합사회복지관,,,2024/05/20 0:00,2024/09/30 0:00,,36,12,Y,"['폭염', '비']",실내,,,,37.60190573,126.9329503
