쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
고정형 그늘막,그늘막,고정형,서울특별시 종로구 자하문로 92   (궁정동),,,,,,,,N,폭염,실외,,N,,37.58409211,126.9706207
고정형 그늘막,그늘막,고정형,서울특별시 종로구 사직로9길 5   (사직동),,,,,,,,N,폭염,실외,,N,,37.57630701,126.9686207
고정형 그늘막,그늘막,고정형,서울특별시 종로구 자하문로 1   (내자동),,,,,,,,N,폭염,실외,,N,,37.57631982,126.9722819
고정형 그늘막,그늘막,고정형,서울특별시 종로구 세종대로 149   (세종로),,,,,,,,N,폭염,실외,,N,,37.56957113,126.9761402
고정형 그늘막,그늘막,고정형,서울특별시 종로구 사직로8길 31   (내자동),,,,,,,,N,폭염,실외,,N,,37.57494627,126.9719797
스마트형 그늘막,그늘막,스마트형,서울특별시 종로구 새문안로 79   (신문로1가),,,,,,,,N,폭염,실외,,N,,37.57079143,126.9735779
고정형 그늘막,그늘막,고정형,서울특별시 종로구 율곡로 33   (안국동),,,,,,,,N,폭염,실외,,N,,37.57590601,126.9834456
고정형 그늘막,그늘막,고정형,서울특별시 종로구 율곡로 1   (사간동),,,,,,,,N,폭염,실외,,N,,37.57624423,126.9798614
고정형 그늘막,그늘막,고정형,서울특별시 종로구 세검정로 220   (홍지동),,,,,,,,N,폭염,실외,,N,,,
고정형 그늘막,그늘막,고정형,서울특별시 종로구 홍지문길 2   (홍지동),,,,,,,,N,폭염,실외,,N,,37.60002357,126.9574222
고정형 그늘막,그늘막,고정형,서울특별시 종로구 평창11길 6   (평창동),,,,,,,,N,폭염,실외,,N,,37.60609624,126.9669521
스마트형 그늘막,그늘막,스마트형,서울특별시 종로구 평창문화로 101   (평창동),,,,,,,,N,폭염,실외,,N,,37.60780084,126.9719018
고정형 그늘막,그늘막,고정형,서울특별시 종로구 통일로 250   (무악동),,,,,,,,N,폭염,실외,,N,,37.57472947,126.957955
고정형 그늘막,그늘막,고정형,서울특별시 종로구 통일로 220   (교북동),,,,,,,,N,폭염,실외,,N,,37.57274888,126.9602161
고정형 그늘막,그늘막,고정형,서울특별시 종로구 새문안로 9   (평동),,,,,,,,N,폭염,실외,,N,,37.56676301,126.9672025
고정형 그늘막,그늘막,고정형,"서울특별시 종로구 송월길 99   (홍파동, 경희궁자이 2단지)",,,,,,,,N,폭염,실외,,N,,37.5708611,126.9623523
고정형 그늘막,그늘막,고정형,"서울특별시 종로구 송월길 99   (홍파동, 경희궁자이 2단지)",,,,,,,,N,폭염,실외,,N,,37.5708611,126.9623523
고정형 그늘막,그늘막,고정형,서울특별시 종로구 북촌로4길 4   (재동),,,,,,,,N,폭염,실외,,N,,37.57904786,126.985448
스마트형 그늘막,그늘막,스마트형,서울특별시 종로구 인사동길 62   (관훈동),,,,,,,,N,폭염,실외,,N,,37.57541074,126.9835065
고정형 그늘막,그늘막,고정형,서울특별시 종로구 우정국로 69   (수송동),,,,,,,,N,폭염,실외,,N,,37.57519688,126.9824568
고정형 그늘막,그늘막,고정형,서울특별시 종로구 종로 33   (청진동),,,,,,,,N,폭염,실외,,N,,37.57096177,126.981438
고정형 그늘막,그늘막,고정형,서울특별시 종로구 종로 99   (종로2가),,,,,,,,N,폭염,실외,,N,,37.5706125,126.9880587
고정형 그늘막,그늘막,고정형,서울특별시 종로구 종로1길 45   (세종로),,,,,,,,N,폭염,실외,,N,,37.57462524,126.9783949
고정형 그늘막,그늘막,고정형,서울특별시 종로구 종로 47   (공평동),,,,,,,,N,폭염,실외,,N,,37.57112501,126.9824389
고정형 그늘막,그늘막,고정형,서울특별시 종로구 종로 127-1    (종로3가),,,,,,,,N,폭염,실외,,N,,37.57068237,126.9916762
고정형 그늘막,그늘막,고정형,서울특별시 종로구 종로 131   (종로3가),,,,,,,,N,폭염,실외,,N,,37.57073377,126.9923572
고정형 그늘막,그늘막,고정형,서울특별시 종로구 종로 109   (종로3가),,,,,,,,N,폭염,실외,,N,,37.57056445,126.9896638
